route_id,trip_id,service_id,trip_headsign,direction_id,shape_id,drt_advance_book_min,peak_offpeak
Q5,JA_F0-Weekday-145000_MISC_562,JA_F0-Weekday,JAMAICA PARSONS-ARCHER via MERRICK,1,Q050038,0.0,0
Q17,JA_F0-Weekday-145200_MISC_565,JA_F0-Weekday,JAMAICA MERRICK BL,1,Q170100,0.0,0
Q4,JA_F0-Weekday-145300_MISC_567,JA_F0-Weekday,JAMAICA PARSONS-ARCHER via LINDEN,1,Q040051,0.0,0
Q84,JA_F0-Weekday-145500_MISC_569,JA_F0-Weekday,JAMAICA PARSONS-ARCHER,1,Q840027,0.0,0
Q84,JA_F0-Weekday-146000_MISC_572,JA_F0-Weekday,LAURELTON 238 ST via 120 AV,0,Q840026,0.0,0
Q3,JA_F0-Weekday-146000_MISC_573,JA_F0-Weekday,JAMAICA 179 ST STATION 165 ST TERMINAL,0,Q030059,0.0,0
Q30,JA_F0-Weekday-146600_Q30_15,JA_F0-Weekday,LITTLE NECK LITTLE NECK PKY,0,Q300027,0.0,0
Q5,JA_F0-Weekday-146800_MISC_566,JA_F0-Weekday,ROSEDALE LIRR via MERRICK,0,Q050035,0.0,0
Q85,JA_F0-Weekday-146800_MISC_570,JA_F0-Weekday,ROSEDALE 147 AV,0,Q850286,0.0,0
Q85,JA_F0-Weekday-146900_MISC_568,JA_F0-Weekday,JAMAICA PARSONS-ARCHER,1,Q850283,0.0,0
Q4,JA_F0-Weekday-147000_MISC_574,JA_F0-Weekday,JAMAICA PARSONS-ARCHER via LINDEN,1,Q040051,0.0,0
Q30,JA_F0-Weekday-147000_MISC_577,JA_F0-Weekday,JAMAICA LIRR,1,Q300304,0.0,0
Q5,JA_F0-Weekday-147000_Q5_16,JA_F0-Weekday,JAMAICA PARSONS-ARCHER via MERRICK,1,Q050053,0.0,0
Q17,JA_F0-Weekday-147200_Q17_25,JA_F0-Weekday,JAMAICA MERRICK BL,1,Q170100,0.0,0
Q17,JA_F0-Weekday-147500_Q17_26,JA_F0-Weekday,FLUSHING MAIN ST STATION,0,Q170071,0.0,0
