"Route","Average Weekday Ridership, 2011","Average Weekday Ridership, 2016","Ridership Change, 2011-2016","On-Time Performance 2016","Wait Assessment 2016","Average Speed (mph)","Length of Route (in miles)","Frequency during AM Rush, Buses per Hour (7:30am to 8:30am)","Frequency in the Evening, Buses per Hour (8:30pm to 10:30pm)","# of Stops along Route","Average Distance Between Stops (in feet)","# of Turns along Route","Bus Stops within .1 Miles of a Subway Station","# of Subway lines that intersect the Route","Borough","MTA Service Standard: Minimum Desired Distance Between Stops (750 feet)","","","","","","","","","",""
"Q21*","3,236","2,926","-10%","70%","84%","9","8.4","3","2","49","935","8","3","4","Queens","750","","","","","","","","","",""
"Q22*","7,350","7,247","-1%","67%","79%","10","9.0","8","3","60","808","11","9","2","Queens","750","","","","","","","","","",""
"Q23*","16,493","16,059","-3%","60%","76%","6","6.9","8","4","49","770","14","3","5","Queens","750","","","","","","","","","",""
"Q24","8,270","8,512","3%","47%","72%","7","8.5","6","4","66","688","8","14","4","Queens","750","","","","","","","","","",""
"Q25*","17,336","20,083","16%","55%","75%","7","9.5","13","4","56","908","16","4","4","Queens","750","","","","","","","","","",""
"Q26","1,509","1,466","-3%","80%","87%","8","3.5","7","0","29","674","5","1","1","Queens","750","","","","","","","","","",""
"Q27","24,567","24,580","0%","71%","82%","9","11.9","24","11","76","838","5","2","1","Queens","750","","","","","","","","","",""
"Q28","9,956","9,893","-1%","77%","88%","9","5.3","16","6","38","766","10","1","1","Queens","750","","","","","","","","","",""
"Q29*","6,115","5,402","-12%","66%","80%","7","4.1","9","3","27","851","11","3","3","Queens","750","","","","","","","","","",""
"Q30","9,679","10,555","9%","62%","78%","9","8.5","9","5","56","813","10","4","3","Queens","750","","","","","","","","","",""
"Q31","6,320","5,692","-10%","63%","78%","8","8.6","7","2","61","753","13","3","3","Queens","750","","","","","","","","","",""
"Q32","12,271","9,454","-23%","40%","70%","5","7.4","6","5","46","872","9","23","13","Queens","750","","","","","","","","","",""
"Q33*","9,100","7,773","-15%","73%","84%","6","2.5","10","7","20","707","7","2","5","Queens","750","","","","","","","","","",""
"Q34*","6,880","6,941","1%","58%","76%","7","7.1","7","3","48","801","16","4","4","Queens","750","","","","","","","","","",""
"Q35*","4,400","4,426","1%","80%","90%","16","8.9","7","3","30","1,641","8","1","2","Queens","750","","","","","","","","","",""
"Q36","5,444","6,101","12%","75%","86%","9","10.2","8","4","68","813","8","2","1","Queens","750","","","","","","","","","",""
"Q37*","6,639","7,842","18%","64%","80%","8","5.9","13","4","32","1,013","20","3","4","Queens","750","","","","","","","","","",""
"Q38*","6,555","8,465","29%","67%","81%","8","8.0","5","3","55","788","21","5","2","Queens","750","","","","","","","","","",""
"Q39*","5,727","5,548","-3%","60%","77%","7","7.1","11","3","47","827","27","3","5","Queens","750","","","","","","","","","",""
"Q40*","5,348","4,976","-7%","62%","80%","7","3.0","10","5","24","712","4","2","3","Queens","750","","","","","","","","","",""
"Q41*","7,111","7,204","1%","58%","75%","7","8.9","8","2","55","875","18","3","3","Queens","750","","","","","","","","","",""
"Q42","912","1,195","31%","88%","91%","8","2.5","5","0","20","712","11","2","2","Queens","750","","","","","","","","","",""
"Q43","16,008","14,853","-7%","70%","80%","9","7.8","18","7","48","880","4","6","3","Queens","750","","","","","","","","","",""
"Q44 SBS","28,143","27,712","-2%","66%","82%","9","14.0","13","8","33","2,351","15","9","7","Queens","750","","","","","","","","","",""
"Q46","22,593","21,468","-5%","72%","83%","11","10.2","29","12","55","1,002","3","1","2","Queens","750","","","","","","","","","",""
"Q47*","7,943","8,043","1%","59%","76%","7","7.0","10","4","40","941","23","2","5","Queens","750","","","","","","","","","",""
"Q48","2,629","2,854","9%","64%","82%","9","5.6","4","3","27","1,130","11","3","1","Queens","750","","","","","","","","","",""
"Q49*","8,514","9,303","9%","72%","83%","6","2.6","19","7","23","629","8","1","5","Queens","750","","","","","","","","","",""
"Q50*","3,225","4,690","45%","63%","80%","12","12.3","5","2","27","2,490","21","2","2","Queens","750","","","","","","","","","",""
"Q52*","0","5,356","","64%","81%","13","13.1","6","3","21","3,540","7","3","4","Queens","750","","","","","","","","","",""
"Q53*","14,931","14,752","-1%","54%","76%","12","14.4","10","6","25","3,234","9","9","8","Queens","750","","","","","","","","","",""
"Q54","12,073","11,952","-1%","53%","75%","7","9.7","6","4","68","764","8","7","4","Queens","750","","","","","","","","","",""
"Q55","7,591","7,343","-3%","67%","84%","7","4.4","13","4","34","708","3","3","2","Queens","750","","","","","","","","","",""
"Q56","9,267","7,862","-15%","46%","70%","6","6.6","6","3","57","621","4","21","5","Queens","750","","","","","","","","","",""
"Q58","26,563","29,412","11%","58%","80%","7","10.4","14","9","57","993","16","6","3","Queens","750","","","","","","","","","",""
"Q59","6,965","7,127","2%","59%","78%","7","7.3","6","3","48","831","7","3","4","Queens","750","","","","","","","","","",""
"Q60*","14,525","13,761","-5%","50%","72%","6","10.9","7","5","55","1,063","3","20","8","Queens","750","","","","","","","","","",""
"Q64*","10,200","9,731","-5%","80%","89%","7","2.6","20","7","19","780","4","1","4","Queens","750","","","","","","","","","",""
"Q65*","18,724","21,052","12%","58%","76%","8","10.4","14","5","53","1,057","15","4","4","Queens","750","","","","","","","","","",""
"Q66*","12,535","13,824","10%","62%","77%","8","7.4","16","4","40","996","6","5","6","Queens","750","","","","","","","","","",""
"Q67*","2,645","2,768","5%","64%","79%","8","7.0","7","1","43","877","20","7","4","Queens","750","","","","","","","","","",""
"Q69*","10,432","9,849","-6%","61%","77%","7","5.1","11","3","42","660","4","2","4","Queens","750","","","","","","","","","",""
"Q70 SBS*","0","4,183","","66%","85%","","8.8","6","6","7","7,708","6","4","5","Queens","750","","","","","","","","","",""
"Q72*","5,603","6,204","11%","53%","73%","6","4.3","7","3","25","973","10","2","3","Queens","750","","","","","","","","","",""
"Q76","5,818","5,742","-1%","68%","79%","9","10.1","6","3","65","833","8","2","1","Queens","750","","","","","","","","","",""
"Q77","6,678","6,413","-4%","62%","78%","8","6.7","5","2","49","738","4","2","1","Queens","750","","","","","","","","","",""
