route_id,trip_id,service_id,trip_headsign,direction_id,shape_id
B2,FB_F0-Saturday-134900_B31_106,FB_F0-Saturday,KINGS PLAZA,0,B20053
B46+,FB_F0-Saturday-134900_SBS46_623,FB_F0-Saturday,SELECT BUS KINGS PLAZA via UTICA,1,SBS460042
B2,FB_F0-Saturday-135000_B2_4,FB_F0-Saturday,MIDWOOD KINGS HWY STATION,1,B20054
B31,FB_F0-Saturday-135000_B31_107,FB_F0-Saturday,MIDWOOD KINGS HIGHWAY STA,0,B310050
B31,FB_F0-Saturday-135000_B31_108,FB_F0-Saturday,GERRITSEN BCH,1,B310049
B44,FB_F0-Saturday-135000_B44_40,FB_F0-Saturday,EMMONS AV,1,B440381
B44+,FB_F0-Saturday-135100_SB44_528,FB_F0-Saturday,SBS SHEEPSHEAD BAY KNAPP ST via NOSTRAND,1,SB440082
B41,FB_F0-Saturday-135200_B41_64,FB_F0-Saturday,DOWNTOWN BKLYN CADMAN PLAZA via FLATBUSH,0,B410393
B49,FB_F0-Saturday-135200_B49_28,FB_F0-Saturday,MANHATTAN BCH KINGSBORO CC via BEDFORD,1,B490209
B46+,FB_F0-Saturday-135200_SBS46_630,FB_F0-Saturday,SELECT BUS DEKALB AV via UTICA,0,SBS460048
B44,FB_F0-Saturday-135400_B44_35,FB_F0-Saturday,WILLIAMSBURG BRIDGE PLAZA via NOSTRAND,0,B440373
B46,FB_F0-Saturday-135700_B46_36,FB_F0-Saturday,KINGS PLAZA via UTICA,1,B460335
B41,FB_F0-Saturday-135800_B41_70,FB_F0-Saturday,BERGEN BEACH VETERANS AV via FLATBUSH,1,B410399
B46+,FB_F0-Saturday-135900_SBS46_624,FB_F0-Saturday,SELECT BUS KINGS PLAZA via UTICA,1,SBS460042
B44,FB_F0-Saturday-136000_B44_32,FB_F0-Saturday,EMMONS AV,1,B440381
B46,FB_F0-Saturday-136000_B46_39,FB_F0-Saturday,WILLIAMSBURG BRIDGE PLAZA via UTICA,0,B460336
B49,FB_F0-Saturday-136000_B49_23,FB_F0-Saturday,BED-STUY FULTON ST via OCEAN via ROGERS,0,B490214
B41,FB_F0-Saturday-136200_B41_61,FB_F0-Saturday,EMPIRE BL,0,B410419
B46+,FB_F0-Saturday-136400_SBS46_631,FB_F0-Saturday,SELECT BUS DEKALB AV via UTICA,0,SBS460048
B44+,FB_F0-Saturday-136500_SB44_531,FB_F0-Saturday,SBS SHEEPSHEAD BAY KNAPP ST via NOSTRAND,1,SB440082
B44,FB_F0-Saturday-136600_B44_36,FB_F0-Saturday,WILLIAMSBURG BRIDGE PLAZA via NOSTRAND,0,B440373
B46,FB_F0-Saturday-136700_B46_45,FB_F0-Saturday,KINGS PLAZA via UTICA,1,B460335
B2,FB_F0-Saturday-136900_B2_4,FB_F0-Saturday,KINGS PLAZA,0,B20053
B46+,FB_F0-Saturday-136900_SBS46_627,FB_F0-Saturday,SELECT BUS KINGS PLAZA via UTICA,1,SBS460042
B2,FB_F0-Saturday-137000_B31_106,FB_F0-Saturday,MIDWOOD KINGS HWY STATION,1,B20054
B31,FB_F0-Saturday-137000_B31_107,FB_F0-Saturday,GERRITSEN BCH,1,B310049
B31,FB_F0-Saturday-137000_B31_108,FB_F0-Saturday,MIDWOOD KINGS HIGHWAY STA,0,B310050
B41,FB_F0-Saturday-137000_B41_62,FB_F0-Saturday,KINGS PLAZA via FLATBUSH,1,B410400
B44,FB_F0-Saturday-137200_B44_41,FB_F0-Saturday,EMMONS AV,1,B440381
B46,FB_F0-Saturday-137200_B46_41,FB_F0-Saturday,WILLIAMSBURG BRIDGE PLAZA via UTICA,0,B460336
B49,FB_F0-Saturday-137200_B49_25,FB_F0-Saturday,MANHATTAN BCH KINGSBORO CC via BEDFORD,1,B490209
B41,FB_F0-Saturday-137700_B41_65,FB_F0-Saturday,DOWNTOWN BKLYN CADMAN PLAZA via FLATBUSH,0,B410393
B46,FB_F0-Saturday-137700_B46_37,FB_F0-Saturday,KINGS PLAZA via UTICA,1,B460335
